"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.342159272E0,1.417088509E-2,1.721930504E-2,-4.000377655E-2,4.579978808E-2
1.347159272E0,2.605593204E-2,2.270907164E-2,-4.110908508E-2,5.370819682E-2
1.352159272E0,3.005766869E-2,1.596409082E-2,-4.011154175E-2,5.260467112E-2
1.357159272E0,3.295725584E-2,2.766376734E-2,-5.422878265E-2,6.922590270E-2
1.362159272E0,2.809566259E-2,2.606242895E-2,-6.276226044E-2,7.353718647E-2
1.367159272E0,3.672057390E-2,2.618050575E-2,-6.081199646E-2,7.570943364E-2
1.372159272E0,3.204452991E-2,3.190606833E-2,-4.075431824E-2,6.087498294E-2
1.377159272E0,2.816092968E-2,8.785605431E-3,-2.436542511E-2,3.826092999E-2
1.382159272E0,1.928067207E-2,7.926464081E-3,-4.195213318E-3,2.126435899E-2
1.387159272E0,1.357710361E-2,7.074475288E-3,3.690719604E-3,1.574824925E-2
1.392159272E0,3.853499889E-3,2.592742443E-3,9.162902832E-3,1.027280697E-2
1.397159272E0,-7.410168648E-3,-7.909774780E-3,1.531600952E-3,1.094627507E-2
1.402159272E0,-2.214640379E-2,-4.090487957E-3,-1.393032074E-2,2.648110890E-2
1.407159272E0,-1.191765070E-2,6.939411163E-3,-2.451229095E-2,2.812540192E-2
1.412159272E0,-1.762771606E-2,1.131534576E-2,-3.185081482E-2,3.812148775E-2
1.417159272E0,-1.438844204E-2,-2.109766006E-3,-2.924823761E-2,3.266401353E-2
1.422159272E0,-1.912379265E-2,-8.537292480E-3,-1.193237305E-2,2.410365812E-2
1.427159272E0,-2.293926477E-2,-2.197802067E-3,1.082420349E-3,2.306971686E-2
1.432159272E0,-2.127104998E-2,-7.627904415E-3,1.076412201E-2,2.503015812E-2
1.437159272E0,-1.590347290E-2,-1.422971487E-2,3.543758392E-2,4.136698672E-2
1.442159272E0,-7.517218590E-3,-2.236950397E-2,3.135776520E-2,3.924554397E-2
1.447159272E0,-1.436316967E-2,-1.621413231E-2,3.798770905E-2,4.372944967E-2
1.452159272E0,-1.459580660E-2,-1.772952080E-2,4.014968872E-2,4.625333482E-2
1.457159272E0,-9.196043015E-3,-1.256531477E-2,4.553413391E-2,4.812288118E-2
1.462159272E0,-4.332482815E-3,-1.414906979E-2,4.975986481E-2,5.191349274E-2
1.467159272E0,-9.727001190E-3,-1.563966274E-2,3.177356720E-2,3.672564738E-2
1.472159272E0,-1.104676723E-2,-1.577877998E-2,1.936531067E-2,2.731329752E-2
1.477159272E0,-1.500844955E-3,-2.909541130E-3,2.392482758E-2,2.414778126E-2
